Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
Aidyn Chronicles: The First Mage,N64,2001.0,Role-Playing,0.08,0.02,0.0,0.0,,,
Virtual Pool 64,N64,1998.0,Sports,0.08,0.02,0.0,0.0,,,
Flying Dragon,N64,1997.0,Fighting,0.08,0.02,0.0,0.0,,,
International Superstar Soccer 64 (weekly JP sales),N64,1997.0,Sports,0.0,0.0,0.05,0.05,,,
Golden Nugget 64,N64,1998.0,Misc,0.07,0.02,0.0,0.0,,,
Robotron 64,N64,1998.0,Shooter,0.07,0.02,0.0,0.0,,,
Batman Beyond: Return of the Joker,N64,2000.0,Action,0.07,0.02,0.0,0.0,,,
V-Rally Edition 99,N64,1998.0,Racing,0.07,0.02,0.0,0.0,,,
Saikyou Habu Shogi,N64,1996.0,Misc,0.0,0.0,0.06,0.03,,,
Mahjong Master,N64,1996.0,Misc,0.0,0.0,0.09,0.0,,,
NHL Breakaway 99,N64,1998.0,Sports,0.07,0.01,0.0,0.0,,,
Tony Hawk's Pro Skater 3,N64,2002.0,Sports,0.06,0.02,0.0,0.0,,,
Iggy's Reckin' Balls,N64,1998.0,Racing,0.06,0.02,0.0,0.0,,,
Bust-A-Move 2 Arcade Edition,N64,1997.0,Puzzle,0.06,0.02,0.0,0.0,,,
Knife Edge: NoseGunner,N64,1998.0,Shooter,0.06,0.02,0.0,0.0,,,
Wetrix,N64,1998.0,Puzzle,0.06,0.02,0.0,0.0,,,
Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,N64,2000.0,Sports,0.0,0.0,0.07,0.0,,,
Shadowgate 64: Trials of the Four Towers,N64,1999.0,Adventure,0.06,0.01,0.0,0.0,,,
Super Robot Spirits,N64,1998.0,Fighting,0.0,0.0,0.04,0.03,,,
Mia Hamm Soccer 64,N64,2000.0,Sports,0.06,0.01,0.0,0.0,,,
Aero Gauge,N64,1997.0,Racing,0.06,0.01,0.0,0.0,,,
Battlezone: Rise of the Black Dogs,N64,2000.0,Strategy,0.06,0.01,0.0,0.0,,,
Neon Genesis Evangelion,N64,1999.0,Adventure,0.0,0.0,0.06,0.0,,,
Mike Piazza's Strike Zone,N64,1998.0,Sports,0.05,0.01,0.0,0.0,,,
Bust-A-Move '99,N64,1998.0,Puzzle,0.05,0.01,0.0,0.0,,,
Star Soldier: Vanishing Earth,N64,1998.0,Shooter,0.05,0.01,0.0,0.0,,,
Top Gear Hyper-Bike,N64,1999.0,Racing,0.05,0.01,0.0,0.0,,,
Brunswick Circuit Pro Bowling,N64,1999.0,Sports,0.05,0.01,0.0,0.0,,,
Olympic Hockey 98,N64,1998.0,Sports,0.05,0.01,0.0,0.0,,,
CyberTiger,N64,2000.0,Sports,0.05,0.01,0.0,0.0,,,
Polaris SnoCross,N64,2000.0,Racing,0.05,0.01,0.0,0.0,,,
Penny Racers,N64,1998.0,Racing,0.05,0.01,0.0,0.0,,,
S.C.A.R.S,N64,1998.0,Racing,0.05,0.01,0.0,0.0,,,
Virtual Chess 64,N64,1998.0,Misc,0.05,0.01,0.0,0.0,,,
NHL Blades of Steel '99,N64,1999.0,Sports,0.05,0.0,0.0,0.0,,,
Dual Heroes,N64,1997.0,Fighting,0.04,0.01,0.0,0.0,,,
Fighter Destiny 2,N64,1999.0,Fighting,0.04,0.01,0.0,0.0,,,
Hercules: The Legendary Journeys,N64,2000.0,Role-Playing,0.04,0.01,0.0,0.0,,,
Chameleon Twist 2,N64,1998.0,Platform,0.04,0.01,0.0,0.0,,,
Blues Brothers 2000,N64,2000.0,Platform,0.04,0.01,0.0,0.0,,,
All Star Tennis 99,N64,1999.0,Sports,0.04,0.01,0.0,0.0,,,
Turok: Dinosaur Hunter,N64,1997.0,Shooter,0.0,0.0,0.05,0.0,,,
Choro Q 64 2: Hacha Mecha Grand Prix Race,N64,1999.0,Racing,0.0,0.0,0.05,0.0,,,
NBA in the Zone 2000,N64,2000.0,Sports,0.04,0.0,0.0,0.0,,,
NBA In The Zone '99,N64,1998.0,Sports,0.04,0.0,0.0,0.0,,,
Monaco Grand Prix,N64,1999.0,Racing,0.03,0.01,0.0,0.0,,,
Worms Armageddon,N64,1999.0,Strategy,0.03,0.01,0.0,0.0,,,
Rally Challenge 2000,N64,1999.0,Racing,0.03,0.01,0.0,0.0,,,
Looney Tunes Duck Dodgers Starring: Daffy Duck,N64,2000.0,Platform,0.03,0.01,0.0,0.0,,,
PD Ultraman Battle Collection 64,N64,1999.0,Strategy,0.0,0.0,0.04,0.0,,,
Deadly Arts,N64,1998.0,Fighting,0.03,0.01,0.0,0.0,,,
Big Mountain 2000,N64,1998.0,Sports,0.02,0.01,0.0,0.0,,,
Starshot: Space Circus Fever,N64,1998.0,Platform,0.02,0.01,0.0,0.0,,,
Charlie Blasts Territory,N64,1999.0,Action,0.02,0.01,0.0,0.0,,,
Super Bowling,N64,1999.0,Sports,0.02,0.0,0.0,0.0,,,
Rat Attack!,N64,2000.0,Puzzle,0.02,0.0,0.0,0.0,,,
Super Mario Bros.,NES,1985.0,Platform,29.08,3.58,6.81,0.77,,,
Duck Hunt,NES,1984.0,Shooter,26.93,0.63,0.28,0.47,,,
Super Mario Bros. 3,NES,1988.0,Platform,9.54,3.44,3.84,0.46,,,
Super Mario Bros. 2,NES,1988.0,Platform,5.39,1.18,0.7,0.19,,,
The Legend of Zelda,NES,1986.0,Action,3.74,0.93,1.69,0.14,,,
Tetris,NES,1988.0,Puzzle,2.97,0.69,1.81,0.11,,,
Dr. Mario,NES,1990.0,Puzzle,2.62,0.6,1.52,0.1,,,
Zelda II: The Adventure of Link,NES,1987.0,Adventure,2.19,0.5,1.61,0.08,,,
Teenage Mutant Ninja Turtles,NES,1989.0,Action,3.38,0.44,0.31,0.04,,,
Excitebike,NES,1984.0,Racing,02.04,0.48,1.57,0.07,,,
Golf,NES,1984.0,Sports,1.22,0.28,2.46,0.04,,,
Dragon Warrior III,NES,1988.0,Role-Playing,0.1,0.0,3.77,0.0,,,
Kung Fu,NES,1985.0,Action,1.64,0.38,1.42,0.06,,,
Baseball,NES,1983.0,Sports,0.73,0.1,2.35,0.02,,,
Dragon Warrior IV,NES,1990.0,Role-Playing,0.08,0.0,03.03,0.01,,,
World Class Track Meet,NES,1986.0,Sports,1.92,0.45,0.64,0.07,,,
Mike Tyson's Punch-Out!!,NES,1987.0,Fighting,02.03,0.47,0.45,0.07,,,
Metroid,NES,1986.0,Action,1.33,0.31,01.04,0.05,,,
Super Mario Bros.: The Lost Levels,NES,1986.0,Platform,0.0,0.0,2.65,0.0,,,
Dragon Warrior II,NES,1987.0,Role-Playing,0.15,0.0,2.41,0.0,,,
Dragon Warrior,NES,1986.0,Role-Playing,0.49,0.0,0.52,1.51,,,
Ice Hockey,NES,1988.0,Sports,1.27,0.32,0.78,0.05,,,
Pro Wrestling,NES,1987.0,Fighting,0.77,0.18,1.42,0.03,,,
Mario Bros.,NES,1983.0,Platform,0.51,0.12,1.63,0.02,,,
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990.0,Action,1.74,0.25,0.21,0.03,,,
Pro Yakyuu Family Stadium,NES,1986.0,Sports,0.15,0.0,02.05,0.0,,,
Tennis,NES,1984.0,Sports,0.48,0.11,1.56,0.02,,,
Volleyball,NES,1987.0,Sports,0.14,0.03,1.98,0.0,,,
R.C. Pro-Am,NES,1988.0,Racing,1.47,0.38,0.19,0.1,,,
Mahjong,NES,1983.0,Misc,0.01,0.0,2.13,0.0,,,
Soccer,NES,1985.0,Sports,0.18,0.23,1.53,0.02,,,
Rad Racer,NES,1986.0,Racing,1.13,0.37,0.41,0.05,,,
Pinball,NES,1984.0,Action,0.8,0.19,0.83,0.03,,,
Kid Icarus,NES,1986.0,Platform,0.53,0.12,01.09,0.02,,,
Kirby's Adventure,NES,1993.0,Platform,0.79,0.14,0.8,0.02,,,
Yoshi,NES,1991.0,Puzzle,0.7,0.13,0.91,0.01,,,
Disney's DuckTales,NES,1989.0,Platform,0.91,0.3,0.42,0.04,,,
Ghosts 'n Goblins,NES,1986.0,Action,0.74,0.26,0.61,0.03,,,
Donkey Kong Classics,NES,1988.0,Platform,0.59,0.14,0.81,0.02,,,
Xevious,NES,1984.0,Shooter,0.18,0.06,1.27,0.01,,,
F1 Race,NES,1984.0,Racing,0.0,0.0,1.52,0.0,,,
Mega Man 2,NES,1988.0,Action,0.93,0.15,0.42,0.01,,,
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986.0,Platform,0.0,0.0,1.5,0.0,,,
Ice Climber,NES,1985.0,Platform,0.46,0.1,0.92,0.02,,,
Nintendo World Cup,NES,1990.0,Sports,0.28,0.5,0.65,0.05,,,
4 Nin uchi Mahjong,NES,1984.0,Misc,0.0,0.0,1.45,0.0,,,
Pro Yakyuu Family Stadium '87,NES,1987.0,Sports,0.12,0.0,1.3,0.0,,,
Final Fantasy III,NES,1990.0,Role-Playing,0.0,0.0,1.39,0.01,,,
Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991.0,Action,01.05,0.17,0.15,0.02,,,
Gradius,NES,1986.0,Shooter,0.27,0.08,1.0,0.01,,,
Gyromite,NES,1985.0,Puzzle,0.73,0.16,0.4,0.03,,,
Hogan's Alley,NES,1984.0,Shooter,0.68,0.16,0.41,0.02,,,
Dragon Ball: Daimaou Fukkatsu,NES,1988.0,Role-Playing,0.0,0.0,1.25,0.0,,,
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987.0,Role-Playing,0.0,0.0,1.25,0.0,,,
Castlevania,NES,1986.0,Platform,0.54,0.06,0.62,0.01,,,
Pac-Man,NES,1984.0,Puzzle,0.27,0.08,0.85,0.02,,,
TwinBee,NES,1986.0,Shooter,0.0,0.0,1.2,0.0,,,
Ganbare Goemon! Karakuri Douchuu,NES,1986.0,Platform,0.0,0.0,1.2,0.0,,,
Disney's Chip 'n Dale: Rescue Rangers,NES,1990.0,Platform,0.68,0.14,0.35,0.02,,,
Pro Yakyuu Family Stadium '88,NES,1988.0,Sports,0.1,0.0,01.08,0.0,,,
Mega Man 3,NES,1990.0,Platform,0.68,0.1,0.39,0.0,,,
Doraemon,NES,1986.0,Action,0.0,0.0,1.15,0.0,,,
Commando,NES,1986.0,Action,0.71,0.16,0.25,0.03,,,
Donkey Kong,NES,1983.0,Platform,0.23,0.05,0.84,0.01,,,
Yoshi's Cookie,NES,1992.0,Puzzle,0.41,0.06,0.63,0.02,,,
Donkey Kong Jr.,NES,1983.0,Platform,0.33,0.07,0.7,0.01,,,
Lode Runner,NES,1984.0,Puzzle,0.0,0.0,1.1,0.0,,,
Famicom Jump: Eiyuu Retsuden,NES,1989.0,Role-Playing,0.0,0.0,1.1,0.0,,,
Popeye,NES,1983.0,Platform,0.51,0.12,0.45,0.02,,,
Tag Team Match M.U.S.C.L.E.,NES,1985.0,Fighting,0.0,0.0,01.05,0.0,,,
Adventure Island,NES,1986.0,Platform,0.0,0.0,01.05,0.0,,,
Bomberman,NES,1985.0,Puzzle,0.18,0.0,0.85,0.0,,,
1942,NES,1985.0,Shooter,0.65,0.14,0.21,0.0,,,
NES Open Tournament Golf,NES,1991.0,Sports,0.41,0.1,0.47,0.02,,,
Tetris 2,NES,1993.0,Puzzle,0.62,0.13,0.21,0.02,,,
Star Soldier,NES,1986.0,Shooter,0.32,0.06,0.57,0.01,,,
Castlevania II: Simon's Quest,NES,1987.0,Platform,0.45,0.06,0.42,0.0,,,
Mega Man 4,NES,1991.0,Platform,0.51,0.09,0.32,0.01,,,
Balloon Fight,NES,1985.0,Platform,0.39,0.09,0.43,0.01,,,
Castlevania III: Dracula's Curse,NES,1989.0,Platform,0.4,0.07,0.37,0.01,,,
Final Fantasy,NES,1987.0,Role-Playing,0.32,0.0,0.52,0.0,,,
Clu Clu Land,NES,1984.0,Puzzle,0.42,0.1,0.28,0.02,,,
Mega Man,NES,1987.0,Platform,0.45,0.08,0.27,0.01,,,
Mega Man 5,NES,1992.0,Platform,0.39,0.07,0.32,0.01,,,
Final Fantasy II,NES,1988.0,Role-Playing,0.0,0.0,0.76,0.0,,,
Mappy,NES,1984.0,Platform,0.0,0.0,0.69,0.0,,,
The Mysterious Murasame Castle,NES,1986.0,Action,0.0,0.0,0.57,0.0,,,
Mega Man 6,NES,1993.0,Platform,0.28,0.07,0.16,0.01,,,
Wrecking Crew,NES,1985.0,Platform,0.0,0.0,0.51,0.0,,,
Bomberman II,NES,1991.0,Puzzle,0.16,0.03,0.15,0.1,,,
Dig Dug,NES,1985.0,Puzzle,0.0,0.0,0.41,0.0,,,
Jurassic Park,NES,1993.0,Action,0.25,0.1,0.0,0.01,,,
Tetris 2 + Bombliss,NES,1991.0,Puzzle,0.0,0.0,0.32,0.0,,,
Famista '91,NES,1990.0,Sports,0.0,0.0,0.3,0.0,,,
Famista '92,NES,1991.0,Sports,0.0,0.0,0.28,0.0,,,
Final Fantasy I & II,NES,1994.0,Role-Playing,0.0,0.0,0.11,0.0,,,
Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1992.0,Fighting,0.04,0.01,0.02,0.0,,,
Adventures of Lolo,NES,1989.0,Puzzle,0.06,0.0,0.0,0.0,,,
Samurai Shodown II,NG,1994.0,Fighting,0.0,0.0,0.25,0.0,,,
The King of Fighters '95 (CD),NG,1994.0,Fighting,0.0,0.0,0.23,0.0,,,
The King of Fighters '95,NG,1995.0,Fighting,0.0,0.0,0.2,0.0,,,
Samurai Spirits (CD),NG,1994.0,Fighting,0.0,0.0,0.2,0.0,,,
The King of Fighters '94 (CD),NG,1993.0,Fighting,0.0,0.0,0.14,0.0,,,
The King of Fighters '94,NG,1994.0,Fighting,0.0,0.0,0.12,0.0,,,
Samurai Shodown III,NG,1995.0,Fighting,0.0,0.0,0.08,0.0,,,
Samurai Shodown,NG,1993.0,Fighting,0.0,0.0,0.07,0.0,,,
The King of Fighters '96,NG,1996.0,Fighting,0.0,0.0,0.06,0.0,,,
Art of Fighting 3: The Path of the Warrior,NG,1996.0,Fighting,0.0,0.0,0.04,0.0,,,
Far East of Eden Shinden,NG,1995.0,Fighting,0.0,0.0,0.03,0.0,,,
Super Dodge Ball,NG,1995.0,Sports,0.0,0.0,0.02,0.0,,,
Assassin's Creed: Unity,PC,2014.0,Action,0.18,0.33,0.0,0.04,70.0,3,M
Stronghold 3,PC,2011.0,Strategy,0.06,0.1,0.0,0.0,47.0,3,T
Call of Duty: Infinite Warfare,PC,2016.0,Shooter,0.04,0.08,0.0,0.01,73.0,3,M
Diablo III,PC,2012.0,Role-Playing,2.44,2.16,0.0,0.54,88.0,4,M
Train Simulator 2016,PC,2015.0,Simulation,0.0,0.04,0.0,0.0,,4,E
A Game of Thrones: Genesis,PC,2011.0,Strategy,0.0,0.03,0.0,0.01,53.0,4,
Star Trek: Legacy,PC,2006.0,Simulation,0.0,0.01,0.0,0.0,56.0,4,E10+
RollerCoaster Tycoon 3,PC,2004.0,Strategy,0.01,0.22,0.0,0.04,81.0,5,E
Harry Potter and the Deathly Hallows - Part 2,PC,2011.0,Action,0.05,0.04,0.0,0.01,43.0,5,
Juiced 2: Hot Import Nights,PC,2007.0,Racing,0.0,0.01,0.0,0.0,61.0,5,T
Battlefield 4,PC,2013.0,Shooter,0.39,0.87,0.0,0.1,81.0,6,M
Football Manager 2015,PC,2014.0,Simulation,0.0,0.44,0.0,0.03,80.0,6,
Dead Space 3,PC,,Action,0.02,0.16,0.0,0.02,78.0,6,M
Brink,PC,2011.0,Shooter,0.06,0.09,0.0,0.03,70.0,6,T
Dishonored 2,PC,2016.0,Action,0.04,0.07,0.0,0.01,86.0,6,M
Darkspore,PC,2011.0,Role-Playing,0.07,0.03,0.0,0.01,65.0,6,T
Dead Island: Riptide,PC,,Action,0.0,0.07,0.0,0.01,61.0,6,M
TRON: Evolution,PC,2010.0,Action,0.06,0.0,0.0,0.0,57.0,6,T
The Cursed Crusade,PC,2011.0,Action,0.0,0.03,0.0,0.01,55.0,6,M
SAW,PC,2009.0,Action,0.0,0.02,0.0,0.0,55.0,6,M
Ridge Racer Unbounded,PC,2012.0,Racing,0.0,0.02,0.0,0.0,72.0,6,T
Lost: Via Domus,PC,2008.0,Action,0.0,0.01,0.0,0.0,52.0,6,T
Anno 2070,PC,2011.0,Strategy,0.0,1.13,0.0,0.29,83.0,7,T
Hitman: Absolution,PC,2012.0,Action,0.03,0.17,0.0,0.04,79.0,7,M
Driver: San Francisco,PC,2011.0,Racing,0.05,0.1,0.0,0.03,80.0,7,T
Farming Simulator 2011,PC,2010.0,Simulation,0.0,0.13,0.0,0.0,,7,E
Tropico 5,PC,2014.0,Simulation,0.02,0.09,0.0,0.01,75.0,7,T
Resident Evil: Revelations,PC,2013.0,Action,0.0,0.04,0.0,0.0,77.0,7,M
Transport Fever,PC,2016.0,Simulation,0.0,0.03,0.0,0.0,70.0,7,
Section 8,PC,2009.0,Shooter,0.02,0.01,0.0,0.0,72.0,7,T
Jack Keane,PC,2008.0,Adventure,0.0,0.02,0.0,0.0,69.0,7,T
Serious Sam II,PC,2005.0,Shooter,0.0,0.01,0.0,0.0,74.0,7,M
BattleForge,PC,2009.0,Strategy,0.0,0.01,0.0,0.0,75.0,7,T
The Sims: Unleashed,PC,2002.0,Simulation,02.03,1.56,0.0,0.17,79.0,8,T
Football Manager 2012,PC,2011.0,Sports,0.02,1.16,0.0,0.33,84.0,8,E
Worldwide Soccer Manager 2008,PC,2007.0,Sports,0.0,1.12,0.0,0.0,86.0,8,E
Crysis,PC,2007.0,Shooter,0.0,0.69,0.0,0.02,91.0,8,M
Farming Simulator 17,PC,2016.0,Simulation,0.03,0.58,0.0,0.04,64.0,8,E
Dead Space,PC,2008.0,Action,0.0,0.53,0.0,0.06,86.0,8,M
The Sims 3: World Adventures,PC,2009.0,Simulation,0.02,0.18,0.0,0.38,81.0,8,T
Medieval II: Total War Gold Edition,PC,2008.0,Strategy,0.0,0.34,0.0,0.03,,8,T
Middle-Earth: Shadow of Mordor,PC,2014.0,Action,0.12,0.2,0.0,0.03,84.0,8,M
Mass Effect Trilogy,PC,2012.0,Action,0.09,0.16,0.0,0.02,,8,M
BioShock 2,PC,,Shooter,0.02,0.19,0.0,0.04,88.0,8,M
Age of Empires: Collector's Edition,PC,2000.0,Strategy,0.02,0.1,0.0,0.02,,8,T
Street Fighter IV,PC,,Fighting,0.07,0.05,0.0,0.02,91.0,8,T
Titanfall 2,PC,2016.0,Shooter,0.03,0.04,0.0,0.01,85.0,8,M
Torchlight,PC,2009.0,Role-Playing,0.0,0.06,0.0,0.01,83.0,8,T
The Testament of Sherlock Holmes,PC,2012.0,Adventure,0.0,0.06,0.0,0.01,73.0,8,M
Alan Wake,PC,2012.0,Action,0.0,0.06,0.0,0.01,83.0,8,T
Unreal Tournament III,PC,2007.0,Shooter,0.0,0.05,0.0,0.01,83.0,8,M
Zoo Tycoon: Complete Collection,PC,2003.0,Strategy,0.03,0.02,0.0,0.01,,8,E
The Saboteur,PC,2009.0,Action,0.0,0.05,0.0,0.01,76.0,8,M
LEGO Indiana Jones 2: The Adventure Continues,PC,2009.0,Action,0.02,0.03,0.0,0.01,66.0,8,E10+
Stellaris,PC,2016.0,Strategy,0.0,0.04,0.0,0.0,78.0,8,
Call of Juarez: Bound in Blood,PC,2009.0,Shooter,0.0,0.03,0.0,0.0,78.0,8,M
Tropico 4: Modern Times,PC,2012.0,Strategy,0.0,0.02,0.0,0.0,78.0,8,T
18 Wheels of Steel: Extreme Trucker,PC,2009.0,Racing,0.0,0.02,0.0,0.0,,8,
Airline Tycoon,PC,2000.0,Simulation,0.0,0.01,0.0,0.0,,8,E
Post Mortem,PC,2003.0,Adventure,0.0,0.01,0.0,0.0,71.0,8,M
Sniper Elite,PC,2005.0,Shooter,0.0,0.01,0.0,0.0,76.0,8,M
Impossible Creatures,PC,2002.0,Strategy,0.0,0.01,0.0,0.0,72.0,8,T
Marvel: Ultimate Alliance,PC,2006.0,Role-Playing,0.01,0.0,0.0,0.0,82.0,8,T
The Chronicles of Riddick: Assault on Dark Athena,PC,2009.0,Shooter,0.0,0.01,0.0,0.0,80.0,8,M
Madagascar: Escape 2 Africa,PC,2008.0,Action,0.01,0.0,0.0,0.0,58.0,8,E10+
Bookworm Deluxe,PC,2006.0,Puzzle,0.01,0.0,0.0,0.0,,8,E
Theme Hospital,PC,1997.0,Strategy,2.3,0.1,0.0,0.0,,9,K-A
Warcraft III: The Frozen Throne,PC,2003.0,Strategy,0.58,0.87,0.0,0.09,88.0,9,T
Star Wars: Knights of the Old Republic,PC,2003.0,Role-Playing,0.01,0.1,0.0,0.02,93.0,9,T
Age of Empires II: The Age of Kings,PC,1999.0,Strategy,0.01,0.08,0.0,0.01,92.0,9,T
Football Manager 2010,PC,2009.0,Sports,0.0,0.06,0.0,0.01,87.0,9,E
Freelancer,PC,2003.0,Simulation,0.02,0.02,0.0,0.01,85.0,9,T
Rise of Nations,PC,2003.0,Strategy,0.01,0.02,0.0,0.01,89.0,9,T
Max Payne 2: The Fall of Max Payne,PC,2003.0,Shooter,0.0,0.02,0.0,0.0,86.0,9,M
Homeworld,PC,1998.0,Strategy,0.0,0.02,0.0,0.0,93.0,9,E
Company of Heroes 2,PC,2013.0,Strategy,0.06,0.25,0.0,0.04,80.0,2.1,M
JASF: Jane's Advanced Strike Fighters,PC,2011.0,Simulation,0.02,0.01,0.0,0.0,48.0,3.1,T
Raven Squad: Operation Hidden Dagger,PC,2009.0,Shooter,0.02,0.0,0.0,0.0,39.0,3.1,T
Football Manager Live,PC,2009.0,Sports,0.0,0.01,0.0,0.0,82.0,3.1,
Harry Potter and the Deathly Hallows - Part 1,PC,2010.0,Action,0.08,0.02,0.0,0.01,37.0,4.1,T
The Sims 2: Family Fun Stuff,PC,2006.0,Simulation,0.0,0.01,0.0,0.0,,4.1,T
NHL 09,PC,2008.0,Sports,0.0,0.02,0.0,0.0,62.0,4.1,E10+
Front Mission Evolved,PC,2010.0,Shooter,0.05,0.0,0.0,0.0,63.0,5.1,T
Mortal Kombat X,PC,2015.0,Fighting,0.01,0.04,0.0,0.0,76.0,5.1,M
Dark Void,PC,2010.0,Action,0.0,0.01,0.0,0.0,57.0,5.1,T
The Sims: Medieval,PC,2011.0,Simulation,0.28,0.32,0.0,0.09,77.0,6.1,T
Deus Ex: Mankind Divided,PC,2016.0,Role-Playing,0.0,0.03,0.0,0.0,83.0,6.1,M
Harry Potter and the Half-Blood Prince,PC,2009.0,Action,0.0,0.03,0.0,0.0,64.0,6.1,E10+
Bus Simulator 16,PC,2016.0,Simulation,0.0,0.03,0.0,0.0,46.0,6.1,
Starship Troopers,PC,2005.0,Shooter,0.0,0.02,0.0,0.0,46.0,6.1,M
FIFA Soccer 08,PC,2007.0,Sports,0.0,0.01,0.0,0.0,77.0,6.1,E
XCOM 2,PC,2016.0,Strategy,0.09,0.12,0.0,0.02,88.0,7.1,T
The Lord of the Rings: War in the North,PC,2011.0,Action,0.05,0.11,0.0,0.03,66.0,7.1,M
Dark Souls II,PC,2014.0,Role-Playing,0.08,0.08,0.0,0.01,91.0,7.1,T
NBA 2K12,PC,2011.0,Sports,0.09,0.05,0.0,0.02,86.0,7.1,E
Project CARS,PC,2015.0,Racing,0.0,0.12,0.0,0.01,83.0,7.1,E
Hearts of Iron III,PC,2009.0,Strategy,0.02,0.04,0.0,0.01,77.0,7.1,E10+
Resident Evil 5,PC,2009.0,Action,0.01,0.04,0.0,0.01,86.0,7.1,M
IL-2 Sturmovik: Cliffs of Dover,PC,2011.0,Simulation,0.0,0.04,0.0,0.01,60.0,7.1,T
LEGO Jurassic World,PC,2015.0,Action,0.0,0.04,0.0,0.0,72.0,7.1,E10+
Harry Potter and the Order of the Phoenix,PC,2007.0,Action,0.0,0.03,0.0,0.0,63.0,7.1,E10+
Secret Files 2: Puritas Cordis,PC,2009.0,Adventure,0.0,0.03,0.0,0.0,64.0,7.1,T
Empire Earth II,PC,2005.0,Strategy,0.0,0.03,0.0,0.0,79.0,7.1,T
Spider-Man 3,PC,2007.0,Platform,0.02,0.0,0.0,0.0,62.0,7.1,T
Elven Legacy,PC,2009.0,Strategy,0.02,0.0,0.0,0.0,71.0,7.1,T
James Bond 007: Blood Stone,PC,2010.0,Shooter,0.02,0.0,0.0,0.0,63.0,7.1,T
Colin McRae Rally 2005,PC,2004.0,Racing,0.0,0.01,0.0,0.0,83.0,7.1,E
Battle Worlds: Kronos,PC,2016.0,Strategy,0.0,0.01,0.0,0.0,71.0,7.1,
Cities: Skylines Snowfall,PC,2016.0,Simulation,0.0,0.01,0.0,0.0,72.0,7.1,
Act of Aggression,PC,2015.0,Strategy,0.0,0.01,0.0,0.0,71.0,7.1,
The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,1.16,2.12,0.0,0.6,94.0,8.1,M
Worldwide Soccer Manager 2009,PC,2008.0,Simulation,0.0,1.14,0.0,0.01,83.0,8.1,E
"Warhammer 40,000: Dawn of War II",PC,2009.0,Strategy,0.0,0.45,0.0,0.02,85.0,8.1,M
Saints Row: The Third,PC,2011.0,Action,0.16,0.16,0.0,0.06,84.0,8.1,M
R.U.S.E.,PC,2010.0,Strategy,0.04,0.19,0.0,0.04,76.0,8.1,T
The Elder Scrolls IV: Oblivion,PC,2006.0,Role-Playing,0.01,0.2,0.0,0.04,94.0,8.1,M
Metro 2033,PC,2010.0,Shooter,0.0,0.19,0.0,0.05,81.0,8.1,M
LEGO Marvel Super Heroes,PC,2013.0,Action,0.04,0.12,0.0,0.01,78.0,8.1,E10+
Risen,PC,2009.0,Role-Playing,0.0,0.11,0.0,0.02,77.0,8.1,M
Rocksmith,PC,,Misc,0.06,0.04,0.0,0.01,78.0,8.1,T
Bejeweled 3,PC,2010.0,Puzzle,0.02,0.05,0.0,0.01,82.0,8.1,E
Zoo Tycoon 2,PC,2004.0,Strategy,0.0,0.05,0.0,0.01,72.0,8.1,E
Mirror's Edge,PC,2009.0,Platform,0.0,0.05,0.0,0.01,81.0,8.1,T
Titan Quest,PC,2006.0,Role-Playing,0.01,0.04,0.0,0.01,77.0,8.1,T
Far Cry,PC,2004.0,Shooter,0.0,0.04,0.0,0.01,89.0,8.1,M
Tropico 3,PC,2009.0,Strategy,0.0,0.04,0.0,0.01,79.0,8.1,T
World in Conflict,PC,2007.0,Strategy,0.0,0.03,0.0,0.01,89.0,8.1,T
Tomb Raider: Anniversary,PC,2007.0,Action,0.0,0.03,0.0,0.01,83.0,8.1,T
Overlord II,PC,2009.0,Action,0.0,0.03,0.0,0.0,79.0,8.1,T
Men of War,PC,2009.0,Strategy,0.01,0.02,0.0,0.0,80.0,8.1,M
The Inner World,PC,2013.0,Adventure,0.0,0.03,0.0,0.0,72.0,8.1,
Test Drive Unlimited,PC,2007.0,Racing,0.0,0.02,0.0,0.0,79.0,8.1,T
Overlord,PC,2007.0,Strategy,0.0,0.02,0.0,0.0,81.0,8.1,T
Painkiller,PC,2004.0,Shooter,0.0,0.02,0.0,0.0,81.0,8.1,M
WorldShift,PC,2009.0,Strategy,0.02,0.0,0.0,0.0,63.0,8.1,T
Peggle Nights,PC,2008.0,Puzzle,0.0,0.01,0.0,0.0,76.0,8.1,E
Codename: Panzers Phase Two,PC,2005.0,Strategy,0.0,0.01,0.0,0.0,80.0,8.1,T
Worms 2,PC,1997.0,Strategy,0.0,0.01,0.0,0.0,,8.1,K-A
Half-Life,PC,1997.0,Shooter,04.03,0.0,0.09,0.0,96.0,9.1,M
Half-Life 2,PC,2004.0,Shooter,2.28,0.02,0.08,0.0,96.0,9.1,M
Diablo II: Lord of Destruction,PC,2001.0,Role-Playing,01.03,0.02,0.0,0.0,87.0,9.1,M
